0,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
426.0599976,234.7456055,426.0599976,155.9928894,426.0599976,114.2412186,426.0599976,90.20223236,426.0599976,73.99984741,426.0599976,54.75296783,426.0599976,34.29179382,426.0599976,17.60549736,426.0599976,5.766485691,426.0599976,2.674465418,426.0599976,1.577796817,426.0599976,0.2396261841,
426.9599915,248.4581299,426.9599915,165.6602325,426.9599915,124.5562744,426.9599915,98.40272522,426.9599915,78.65032196,426.9599915,59.01137543,426.9599915,36.90389252,426.9599915,19.01170158,426.9599915,6.368719101,426.9599915,3.084317923,426.9599915,1.401420593,426.9599915,0.09383503348,
428.0299988,269.5138855,428.0299988,180.5378571,428.0299988,134.9819031,428.0299988,107.1546097,428.0299988,86.22112274,428.0299988,64.98429871,428.0299988,39.80810547,428.0299988,20.31424332,428.0299988,6.757680416,428.0299988,3.159836531,428.0299988,1.553434372,428.0299988,0.2844141126,
428.9299927,287.0813293,428.9299927,193.8594971,428.9299927,141.4787292,428.9299927,112.8091202,428.9299927,92.18788147,428.9299927,69.06215668,428.9299927,42.12625885,428.9299927,21.95899391,428.9299927,6.91403532,428.9299927,3.075891733,428.9299927,1.460684776,428.9299927,0.1137548611,
430,313.8312988,430,209.877533,430,152.1060944,430,124.5221786,430,100.7927704,430,75.70783997,430,45.8184967,430,24.50671387,430,8.252122879,430,3.522074938,430,1.741755605,430,0.1315294951,
431.0700073,332.3459778,431.0700073,224.4754944,431.0700073,168.7423096,431.0700073,134.2304993,431.0700073,108.5846024,431.0700073,82.54408264,431.0700073,50.15888596,431.0700073,25.81949806,431.0700073,8.480849266,431.0700073,3.980000019,431.0700073,1.600185037,431.0700073,0.3583801091,
432,354.8119812,432,235.7900848,432,175.2362518,432,141.3853912,432,115.4691925,432,85.90333557,432,54.06661606,432,27.39456558,432,9.126590729,432,3.953206778,432,2.032123327,432,0.2388582528,
433.0700073,382.737915,433.0700073,253.7141418,433.0700073,189.5551758,433.0700073,150.6283112,433.0700073,121.1956711,433.0700073,93.68424988,433.0700073,57.56921387,433.0700073,29.31416893,433.0700073,9.904128075,433.0700073,4.136288643,433.0700073,1.700007915,433.0700073,0.3741925061,
434,398.3739929,434,268.5708618,434,199.430191,434,160.6741486,434,131.8692017,434,97.16412354,434,60.55601501,434,31.18815804,434,10.28786564,434,4.811469078,434,2.047808409,434,0.3735084236,
435.0700073,428.5828857,435.0700073,285.230835,435.0700073,209.8995667,435.0700073,170.0403442,435.0700073,136.971283,435.0700073,103.3994064,435.0700073,64.45872498,435.0700073,32.7330246,435.0700073,11.55741882,435.0700073,4.810385704,435.0700073,2.183996916,435.0700073,0.2083029598,
